n,character,pinyin
1,阿姨,āyí
2,啊,a
3,矮,ǎi
4,愛,ài
5,愛好,àihào
6,愛情,àiqíng
7,安靜,ānjìng
8,安排,ānpái
9,安全,ānquán
10,暗,àn
11,按時,ànshí
12,按照,ànzhào
13,八,bā
14,把,bǎ
15,爸爸,bàba
16,吧,ba
17,白,bái
18,百,bǎi
19,班,bān
20,搬,bān
21,半,bàn
22,辦法,bànfǎ
23,辦公室,bàngōngshì
24,幫忙,bāngmáng
25,幫助,bāngzhù
26,包,bāo
27,包括,bāokuò
28,飽,bǎo
29,保護,bǎohù
30,保證,bǎozhèng
31,抱,bào
32,抱歉,bàoqiàn
33,報道,bàodào
34,報名,bàomíng
35,報紙,bàozhǐ
36,杯子,bēizi
37,北方,běifāng
38,北京,Běijīng
39,倍,bèi
40,被,bèi
41,本,běn
42,本來,běnlái
43,笨,bèn
44,鼻子,bízi
45,比,bǐ
46,比較,bǐjiào
47,比賽,bǐsài
48,筆記本,bǐjìběn
49,必須,bìxū
50,畢業,bìyè
51,遍,biàn
52,變化,biànhuà
53,標準,biāozhǔn
54,表達,biǎodá
55,表格,biǎogé
56,表示,biǎoshì
57,表演,biǎoyǎn
58,表揚,biǎoyáng
59,別,bié
60,別人,biéren
61,賓館,bīnguǎn
62,冰箱,bīngxiāng
63,餅乾,bǐnggān
64,並且,bìngqiě
65,博士,bóshì
66,不但,búdàn
67,不過,búguò
68,不客氣,bú kèqi
69,不,bù
70,不得不,bùdébù
71,不管,bùguǎn
72,不僅,bùjǐn
73,部分,bùfen
74,擦,cā
75,猜,cāi
76,才,cái
77,材料,cáiliào
78,菜,cài
79,選單,càidān
80,參觀,cānguān
81,參加,cānjiā
82,草,cǎo
83,層,céng
84,茶,chá
85,差,chà
86,差不多,chàbuduō
87,嘗,cháng
88,長,cháng
89,長城,Chángchéng
90,長江,Cháng Jiāng
91,場,chǎng
92,唱歌,chànggē
93,超過,chāoguò
94,超市,chāoshì
95,吵,chǎo
96,襯衫,chènshān
97,成功,chénggōng
98,成績,chéngjì
99,成熟,chéngshú
100,成為,chéngwéi
101,誠實,chéngshí
102,城市,chéngshì
103,乘坐,chéngzuò
104,吃,chī
105,吃驚,chījīng
106,遲到,chídào
107,重新,chóngxīn
108,抽菸,chōuyān
109,出,chū
110,出差,chūchāi
111,出發,chūfā
112,出生,chūshēng
113,出現,chūxiàn
114,計程車,chūzūchē
115,廚房,chúfáng
116,除了,chúle
117,穿,chuān
118,船,chuán
119,傳真,chuánzhēn
120,窗戶,chuānghu
121,春,chūn
122,詞典,cídiǎn
123,詞語,cíyǔ
124,次,cì
125,聰明,cōngming
126,從,cóng
127,從來,cónglái
128,粗心,cūxīn
129,錯,cuò
130,答案,dá'àn
131,打扮,dǎban
132,打電話,dǎ diànhuà
133,打籃球,dǎ lánqiú
134,打擾,dǎrǎo
135,打掃,dǎsǎo
136,打算,dǎsuàn
137,列印,dǎyìn
138,打折,dǎzhé
139,打針,dǎzhēn
140,大,dà
141,大概,dàgài
142,大家,dàjiā
143,大使館,dàshǐguǎn
144,大約,dàyuē
145,帶,dài
146,戴,dài
147,代表,dàibiǎo
148,代替,dàitì
149,大夫,dàifu
150,擔心,dānxīn
151,蛋糕,dàngāo
152,但是,dànshì
153,當,dāng
154,當地,dāngdì
155,當然,dāngrán
156,當時,dāngshí
157,刀,dāo
158,導遊,dǎoyóu
159,到,dào
160,到處,dàochù
161,到底,dàodǐ
162,道歉,dàoqiàn
163,得意,déyì
164,地,de
165,的,de
166,得,de
167,得,děi
168,燈,dēng
169,等（動）,děng
170,等（助）,děng
171,低,dī
172,底,dǐ
173,弟弟,dìdi
174,地方,dìfang
175,地球,dìqiú
176,地鐵,dìtiě
177,地圖,dìtú
178,地址,dìzhǐ
179,第一,dì-yī
180,點,diǎn
181,電腦,diànnǎo
182,電視,diànshì
183,電梯,diàntī
184,電影,diànyǐng
185,電子郵件,diànzǐ yóujiàn
186,掉,diào
187,調查,diàochá
188,丟,diū
189,冬,dōng
190,東,dōng
191,東西,dōngxi
192,懂,dǒng
193,動物,dòngwù
194,動作,dòngzuò
195,都,dōu
196,讀,dú
197,堵車,dǔchē
198,肚子,dùzi
199,短,duǎn
200,段,duàn
201,斷,duàn
202,鍛鍊,duànliàn
203,對（形）,duì
204,對（介）,duì
205,對不起,duìbuqǐ
206,對話,duìhuà
207,對面,duìmiàn
208,頓,dùn
209,多,duō
210,多麼,duōme
211,多少,duōshao
212,朵,duǒ
213,餓,è
214,而,ér
215,而且,érqiě
216,兒童,értóng
217,兒子,érzi
218,耳朵,ěrduo
219,二,èr
220,發,fā
221,發燒,fāshāo
222,發生,fāshēng
223,發現,fāxiàn
224,發展,fāzhǎn
225,法律,fǎlǜ
226,翻譯,fānyì
227,煩惱,fánnǎo
228,反對,fǎnduì
229,反映,fǎnyìng
230,飯館,fànguǎn
231,範圍,fànwéi
232,方便,fāngbiàn
233,方法,fāngfǎ
234,方面,fāngmiàn
235,方向,fāngxiàng
236,房間,fángjiān
237,訪問,fǎngwèn
238,放,fàng
239,放棄,fàngqì
240,放暑假,fàng shǔjià
241,放心,fàngxīn
242,非常,fēicháng
243,飛機,fēijī
244,分,fēn
245,…分之…,fēnzhī
246,分鐘,fēnzhōng
247,份,fèn
248,豐富,fēngfù
249,風景,fēngjǐng
250,否則,fǒuzé
251,符合,fúhé
252,服務員,fúwùyuán
253,富,fù
254,附近,fùjìn
255,父親,fùqīn
256,複習,fùxí
257,影印,fùyìn
258,複雜,fùzá
259,負責,fùzé
260,改變,gǎibiàn
261,乾杯,gānbēi
262,乾淨,gānjìng
263,乾燥,gānzào
264,敢,gǎn
265,感動,gǎndòng
266,感覺,gǎnjué
267,感冒,gǎnmào
268,感情,gǎnqíng
269,感謝,gǎnxiè
270,幹,gàn
271,剛才,gāngcái
272,剛剛,gānggāng
273,高,gāo
274,高階,gāojí
275,高興,gāoxìng
276,告訴,gàosu
277,哥哥,gēge
278,各,gè
279,個,gè
280,個子,gèzi
281,給,gěi
282,跟,gēn
283,根據,gēnjù
284,更,gèng
285,公共汽車,gōnggòngqìchē
286,公斤,gōngjīn
287,公里,gōnglǐ
288,公司,gōngsī
289,公園,gōngyuán
290,工具,gōngjù
291,工資,gōngzī
292,工作,gōngzuò
293,共同,gòngtóng
294,狗,gǒu
295,夠,gòu
296,購物,gòuwù
297,孤單,gūdān
298,估計,gūjì
299,鼓勵,gǔlì
300,鼓掌,gǔzhǎng
301,顧客,gùkè
302,故事,gùshi
303,故意,gùyì
304,颳風,guā fēng
305,掛,guà
306,關,guān
307,關鍵,guānjiàn
308,關係,guānxì
309,關心,guānxīn
310,關於,guānyú
311,觀眾,guānzhòng
312,管理,guǎnlǐ
313,光,guāng
314,廣播,guǎngbō
315,廣告,guǎnggào
316,逛,guàng
317,規定,guīdìng
318,貴,guì
319,國際,guójì
320,國家,guójiā
321,果然,guǒrán
322,果汁,guǒzhī
323,過（動）,guò
324,過（助）,guo
325,過程,guòchéng
326,過去,guòqù
327,還,hái
328,還是,háishì
329,孩子,háizi
330,海洋,hǎiyáng
331,害怕,hàipà
332,害羞,hàixiū
333,寒假,hánjià
334,汗,hàn
335,漢語,Hànyǔ
336,航班,hángbān
337,好,hǎo
338,好吃,hǎochī
339,好處,hǎochu
340,好像,hǎoxiàng
341,號,hào
342,號碼,hàomǎ
343,喝,hē
344,和,hé
345,河,hé
346,合格,hégé
347,合適,héshì
348,盒子,hézi
349,黑,hēi
350,黑板,hēibǎn
351,很,hěn
352,紅,hóng
353,猴子,hóuzi
354,厚,hòu
355,後悔,hòuhuǐ
356,後來,hòulái
357,後面,hòumiàn
358,忽然,hūrán
359,護士,hùshi
360,護照,hùzhào
361,互相,hùxiāng
362,花（動）,huā
363,花園,huāyuán
364,畫,huà
365,懷疑,huáiyí
366,壞,huài
367,歡迎,huānyíng
368,還,huán
369,環境,huánjìng
370,換,huàn
371,黃,huáng
372,回,huí
373,回答,huídá
374,回憶,huíyì
375,會,huì
376,會議,huìyì
377,活動,huódòng
378,活潑,huópō
379,火,huǒ
380,火車站,huǒchēzhàn
381,獲得,huòdé
382,或者,huòzhě
383,機場,jīchǎng
384,機會,jīhuì
385,基礎,jīchǔ
386,雞蛋,jīdàn
387,激動,jīdòng
388,幾乎,jīhū
389,積極,jījí
390,積累,jīlěi
391,極,jí
392,極其,jíqí
393,集合,jíhé
394,及時,jíshí
395,即使,jíshǐ
396,幾,jǐ
397,寄,jì
398,記得,jìde
399,記者,jìzhě
400,計劃,jìhuà
401,季節,jìjié
402,既然,jìrán
403,技術,jìshù
404,繼續,jìxù
405,家,jiā
406,傢俱,jiājù
407,加班,jiābān
408,加油站,jiāyóuzhàn
409,假,jiǎ
410,價格,jiàgé
411,堅持,jiānchí
412,檢查,jiǎnchá
413,簡單,jiǎndān
414,減肥,jiǎnféi
415,減少,jiǎnshǎo
416,件,jiàn
417,健康,jiànkāng
418,見面,jiànmiàn
419,將來,jiānglái
420,講,jiǎng
421,獎金,jiǎngjīn
422,降低,jiàngdī
423,教,jiāo
424,交,jiāo
425,交流,jiāoliú
426,交通,jiāotōng
427,驕傲,jiāo'ào
428,角,jiǎo
429,腳,jiǎo
430,餃子,jiǎozi
431,叫,jiào
432,教室,jiàoshì
433,教授,jiàoshòu
434,教育,jiàoyù
435,接,jiē
436,接受,jiēshòu
437,街道,jiēdào
438,結果,jiéguǒ
439,結婚,jiéhūn
440,結束,jiéshù
441,節目,jiémù
442,節日,jiérì
443,節約,jiéyuē
444,姐姐,jiějie
445,解決,jiějué
446,解釋,jiěshì
447,借,jiè
448,介紹,jièshào
449,今天,jīntiān
450,儘管,jǐnguǎn
451,緊張,jǐnzhāng
452,近,jìn
453,進,jìn
454,進行,jìnxíng
455,禁止,jìnzhǐ
456,精彩,jīngcǎi
457,精神,jīngshén
458,經常,jīngcháng
459,經過,jīngguò
460,經濟,jīngjì
461,經理,jīnglǐ
462,經歷,jīnglì
463,經驗,jīngyàn
464,京劇,jīngjù
465,警察,jǐngchá
466,竟然,jìngrán
467,競爭,jìngzhēng
468,鏡子,jìngzi
469,究竟,jiūjìng
470,九,jiǔ
471,久,jiǔ
472,舊,jiù
473,就,jiù
474,舉辦,jǔbàn
475,舉行,jǔxíng
476,拒絕,jùjué
477,距離,jùlí
478,句子,jùzi
479,覺得,juéde
480,決定,juédìng
481,咖啡,kāfēi
482,開,kāi
483,開始,kāishǐ
484,開玩笑,kāi wánxiào
485,看,kàn
486,看法,kànfǎ
487,看見,kànjiàn
488,考慮,kǎolǜ
489,考試,kǎoshì
490,棵,kē
491,科學,kēxué
492,咳嗽,késou
493,渴,kě
494,可愛,kě'ài
495,可憐,kělián
496,可能,kěnéng
497,可是,kěshì
498,可惜,kěxī
499,可以,kěyǐ
500,刻,kè
501,課,kè
502,客人,kèrén
503,肯定,kěndìng
504,空氣,kōngqì
505,空調,kōngtiáo
506,恐怕,kǒngpà
507,口,kǒu
508,哭,kū
509,苦,kǔ
510,褲子,kùzi
511,塊,kuài
512,快,kuài
513,快樂,kuàilè
514,筷子,kuàizi
515,寬,kuān
516,困,kùn
517,困難,kùnnan
518,擴大,kuòdà
519,拉,lā
520,垃圾桶,lājītǒng
521,辣,là
522,來,lái
523,來不及,láibují
524,來得及,láidejí
525,藍,lán
526,懶,lǎn
527,浪費,làngfèi
528,浪漫,làngmàn
529,老,lǎo
530,老虎,lǎohǔ
531,老師,lǎoshī
532,了,le
533,累,lèi
534,冷,lěng
535,冷靜,lěngjìng
536,離,lí
537,離開,líkāi
538,裡,lǐ
539,理髮,lǐfà
540,理解,lǐjiě
541,理想,lǐxiǎng
542,禮貌,lǐmào
543,禮物,lǐwù
544,厲害,lìhai
545,力氣,lìqi
546,例如,lìrú
547,歷史,lìshǐ
548,倆,liǎ
549,連,lián
550,聯絡,liánxì
551,臉,liǎn
552,練習,liànxí
553,涼快,liángkuai
554,兩,liǎng
555,亮,liàng
556,輛,liàng
557,聊天,liáotiān
558,瞭解,liǎojiě
559,鄰居,línjū
560,零,líng
561,另外,lìngwài
562,留,liú
563,留學,liúxué
564,流淚,liúlèi
