n,character,pinyin
1,阿姨,āyí
2,啊,a
3,唉,āi
4,矮,ǎi
5,愛,ài
6,愛好,àihào
7,愛護,àihù
8,愛情,àiqíng
9,愛惜,àixī
10,愛心,àixīn
11,安靜,ānjìng
12,安排,ānpái
13,安全,ānquán
14,安慰,ānwèi
15,安裝,ānzhuāng
16,岸,àn
17,暗,àn
18,按時,ànshí
19,按照,ànzhào
20,八,bā
21,把,bǎ
22,把握,bǎwò
23,爸爸,bàba
24,吧,ba
25,白,bái
26,百,bǎi
27,擺,bǎi
28,搬,bān
29,班,bān
30,班主任,bānzhǔrèn
31,半,bàn
32,辦法,bànfǎ
33,辦公室,bàngōngshì
34,辦理,bànlǐ
35,幫忙,bāngmáng
36,幫助,bāngzhù
37,棒,bàng
38,傍晚,bàngwǎn
39,包,bāo
40,包裹,bāoguǒ
41,包含,bāohán
42,包括,bāokuò
43,包子,bāozi
44,薄,báo
45,飽,bǎo
46,寶貝,bǎobèi
47,寶貴,bǎoguì
48,保持,bǎochí
49,儲存,bǎocún
50,保護,bǎohù
51,保留,bǎoliú
52,保險,bǎoxiǎn
53,保證,bǎozhèng
54,抱,bào
55,抱歉,bàoqiàn
56,報道,bàodào
57,報告,bàogào
58,報名,bàomíng
59,報紙,bàozhǐ
60,悲觀,bēiguān
61,杯子,bēizi
62,北方,běifāng
63,北京,Běijīng
64,倍,bèi
65,背,bèi
66,背景,bèijǐng
67,被,bèi
68,被子,bèizi
69,本,běn
70,本科,běnkē
71,本來,běnlái
72,本領,běnlǐng
73,本質,běnzhì
74,笨,bèn
75,鼻子,bízi
76,比,bǐ
77,比較,bǐjiào
78,比例,bǐlì
79,比如,bǐrú
80,比賽,bǐsài
81,彼此,bǐcǐ
82,筆記本,bǐjìběn
83,畢竟,bìjìng
84,畢業,bìyè
85,避免,bìmiǎn
86,必然,bìrán
87,必須,bìxū
88,必需,bìxū
89,必要,bìyào
90,編輯,biānjí
91,鞭炮,biānpào
92,便,biàn
93,遍,biàn
94,變化,biànhuà
95,辯論,biànlùn
96,標點,biāodiǎn
97,標誌,biāozhì
98,標準,biāozhǔn
99,表達,biǎodá
100,表格,biǎogé
101,表面,biǎomiàn
102,表明,biǎomíng
103,表情,biǎoqíng
104,表示,biǎoshì
105,表現,biǎoxiàn
106,表演,biǎoyǎn
107,表揚,biǎoyáng
108,別,bié
109,別人,biéren
110,賓館,bīnguǎn
111,冰箱,bīngxiāng
112,丙,bǐng
113,餅乾,bǐnggān
114,病毒,bìngdú
115,並且,bìngqiě
116,玻璃,bōli
117,博士,bóshì
118,博物館,bówùguǎn
119,脖子,bózi
120,不必,búbì
121,不但,búdàn
122,不斷,búduàn
123,不過,búguò
124,不見得,bú jiàndé
125,不客氣,bú kèqi
126,不耐煩,bú nàifán
127,不要緊,bú yàojǐn
128,補充,bǔchōng
129,布,bù
130,不,bù
131,不安,bù'ān
132,不得不,bùdébù
133,不得了,bù déliǎo
134,不管,bùguǎn
135,不好意思,bù hǎoyìsi
136,不僅,bùjǐn
137,不免,bùmiǎn
138,不然,bùrán
139,不如,bùrú
140,不足,bùzú
141,部分,bùfen
142,部門,bùmén
143,步驟,bùzhòu
144,擦,cā
145,猜,cāi
146,才,cái
147,財產,cáichǎn
148,材料,cáiliào
149,踩,cǎi
150,採訪,cǎifǎng
151,採取,cǎiqǔ
152,彩虹,cǎihóng
153,菜,cài
154,選單,càidān
155,參觀,cānguān
156,參加,cānjiā
157,參考,cānkǎo
158,參與,cānyù
159,餐廳,cāntīng
160,殘疾,cánjí
161,慚愧,cánkuì
162,操場,cāochǎng
163,操心,cāoxīn
164,草,cǎo
165,冊,cè
166,廁所,cèsuǒ
167,測驗,cèyàn
168,層,céng
169,曾經,céngjīng
170,插,chā
171,差別,chābié
172,叉子,chāzi
173,茶,chá
174,差,chà
175,差不多,chàbuduō
176,拆,chāi
177,產品,chǎnpǐn
178,產生,chǎnshēng
179,嘗,cháng
180,長,cháng
181,長城,Chángchéng
182,長江,Cháng Jiāng
183,長途,chángtú
184,常識,chángshí
185,場,chǎng
186,唱歌,chànggē
187,抄,chāo
188,超過,chāoguò
189,超市,chāoshì
190,朝,cháo
191,朝代,cháodài
192,炒,chǎo
193,吵,chǎo
194,吵架,chǎojià
195,車庫,chēkù
196,車廂,chēxiāng
197,徹底,chèdǐ
198,沉默,chénmò
199,趁,chèn
200,襯衫,chènshān
201,稱,chēng
202,稱呼,chēnghu
203,稱讚,chēngzàn
204,乘,chéng
205,乘坐,chéngzuò
206,承擔,chéngdān
207,承認,chéngrèn
208,承受,chéngshòu
209,程度,chéngdù
210,程式,chéngxù
211,成分,chéngfèn
212,成功,chénggōng
213,成果,chéngguǒ
214,成績,chéngjì
215,成就,chéngjiù
216,成立,chénglì
217,成熟,chéngshú
218,成為,chéngwéi
219,成語,chéngyǔ
220,成長,chéngzhǎng
221,誠懇,chéngkěn
222,誠實,chéngshí
223,城市,chéngshì
224,吃,chī
225,吃驚,chījīng
226,吃虧,chīkuī
227,遲到,chídào
228,持續,chíxù
229,池子,chízi
230,尺子,chǐzi
231,翅膀,chìbǎng
232,衝,chōng
233,充電器,chōngdiànqì
234,充分,chōngfèn
235,充滿,chōngmǎn
236,重複,chóngfù
237,重新,chóngxīn
238,寵物,chǒngwù
239,抽屜,chōuti
240,抽象,chōuxiàng
241,抽菸,chōuyān
242,醜,chǒu
243,臭,chòu
244,出,chū
245,出版,chūbǎn
246,出差,chūchāi
247,出發,chūfā
248,出口,chūkǒu
249,出色,chūsè
250,出生,chūshēng
251,出席,chūxí
252,出現,chūxiàn
253,計程車,chūzūchē
254,初級,chūjí
255,除,chú
256,除非,chúfēi
257,除了,chúle
258,除夕,chúxī
259,廚房,chúfáng
260,處理,chǔlǐ
261,穿,chuān
262,船,chuán
263,傳播,chuánbō
264,傳遞,chuándì
265,傳染,chuánrǎn
266,傳說,chuánshuō
267,傳統,chuántǒng
268,傳真,chuánzhēn
269,窗戶,chuānghu
270,窗簾,chuānglián
271,闖,chuǎng
272,創造,chuàngzào
273,吹,chuī
274,春,chūn
275,磁帶,cídài
276,詞典,cídiǎn
277,詞語,cíyǔ
278,辭職,cízhí
279,此外,cǐwài
280,次,cì
281,次要,cìyào
282,刺激,cìjī
283,匆忙,cōngmáng
284,聰明,cōngming
285,從,cóng
286,從此,cóngcǐ
287,從而,cóng'ér
288,從來,cónglái
289,從前,cóngqián
290,從事,cóngshì
291,粗心,cūxīn
292,醋,cù
293,促進,cùjìn
294,促使,cùshǐ
295,催,cuī
296,存,cún
297,存在,cúnzài
298,錯,cuò
299,錯誤,cuòwù
300,措施,cuòshī
301,答應,dāying
302,答案,dá'àn
303,達到,dádào
304,打扮,dǎban
305,打電話,dǎ diànhuà
306,打工,dǎgōng
307,打交道,dǎ jiāodao
308,打籃球,dǎ lánqiú
309,打噴嚏,dǎ pēntì
310,打擾,dǎrǎo
311,打掃,dǎsǎo
312,打算,dǎsuàn
313,打聽,dǎting
314,列印,dǎyìn
315,打招呼,dǎ zhāohu
316,打折,dǎzhé
317,打針,dǎzhēn
318,大,dà
319,大方,dàfang
320,大概,dàgài
321,大夫,dàifu
322,大使館,dàshǐguǎn
323,大象,dàxiàng
324,大型,dàxíng
325,大約,dàyuē
326,呆,dāi
327,帶,dài
328,戴,dài
329,代表,dàibiǎo
330,代替,dàitì
332,貸款,dàikuǎn
333,待遇,dàiyù
334,單純,dānchún
335,單調,dāndiào
336,單獨,dāndú
337,單位,dānwèi
338,單元,dānyuán
339,擔任,dānrèn
340,擔心,dānxīn
341,耽誤,dānwu
342,膽小鬼,dǎnxiǎoguǐ
343,淡,dàn
344,蛋糕,dàngāo
345,但是,dànshì
346,當,dāng
347,當代,dāngdài
348,當地,dāngdì
349,當然,dāngrán
350,當時,dāngshí
351,擋,dǎng
352,刀,dāo
353,島,dǎo
354,倒黴,dǎoméi
355,導演,dǎoyǎn
356,導遊,dǎoyóu
357,導致,dǎozhì
358,倒,dào
359,到,dào
360,到處,dàochù
361,到達,dàodá
362,到底,dàodǐ
363,道德,dàodé
364,道理,dàolǐ
365,道歉,dàoqiàn
366,地,de
367,的,de
368,得,de
369,得意,déyì
370,得,děi
371,燈,dēng
372,登機牌,dēngjīpái
373,登記,dēngjì
374,等（動）,děng
375,等（助）,děng
376,等待,děngdài
377,等候,děnghòu
378,等於,děngyú
379,低,dī
380,滴,dī
381,的確,díquè
382,敵人,dírén
383,底,dǐ
384,遞,dì
385,地道,dìdao
386,地方,dìfang
387,地理,dìlǐ
388,地球,dìqiú
389,地區,dìqū
390,地毯,dìtǎn
391,地鐵,dìtiě
392,地圖,dìtú
393,地位,dìwèi
394,地震,dìzhèn
395,地址,dìzhǐ
396,弟弟,dìdi
397,第一,dì-yī
398,點,diǎn
399,點頭,diǎntóu
400,點心,diǎnxin
401,電池,diànchí
402,電腦,diànnǎo
403,電視,diànshì
404,電臺,diàntái
405,電梯,diàntī
406,電影,diànyǐng
407,電子郵件,diànzǐ yóujiàn
408,釣,diào
409,掉,diào
410,調查,diàochá
411,丁,dīng
412,頂,dǐng
413,丟,diū
414,冬,dōng
415,東,dōng
416,東西,dōngxi
417,懂,dǒng
418,凍,dòng
419,洞,dòng
420,動畫片,dònghuàpiàn
421,動物,dòngwù
422,動作,dòngzuò
423,都,dōu
424,逗,dòu
425,豆腐,dòufu
426,讀,dú
427,獨立,dúlì
428,獨特,dútè
429,堵車,dǔchē
430,度過,dùguò
431,肚子,dùzi
432,短,duǎn
433,簡訊,duǎnxìn
434,段,duàn
435,斷,duàn
436,鍛鍊,duànliàn
437,堆,duī
438,對（介）,duì
439,對（形）,duì
440,對比,duìbǐ
441,對不起,duìbuqǐ
442,對待,duìdài
443,對方,duìfāng
444,對話,duìhuà
445,對面,duìmiàn
446,對手,duìshǒu
447,物件,duìxiàng
448,對於,duìyú
449,噸,dūn
450,蹲,dūn
451,頓,dùn
452,多,duō
453,多虧,duōkuī
454,多麼,duōme
455,多少,duōshao
456,多餘,duōyú
457,朵,duǒ
458,躲藏,duǒcáng
459,餓,è
460,惡劣,èliè
461,而,ér
462,而且,érqiě
463,兒童,értóng
464,兒子,érzi
465,耳朵,ěrduo
466,二,èr
467,發,fā
468,發表,fābiǎo
469,發愁,fāchóu
470,發達,fādá
471,發抖,fādǒu
472,發揮,fāhuī
473,發明,fāmíng
474,發票,fāpiào
475,發燒,fāshāo
476,發生,fāshēng
477,發現,fāxiàn
478,發言,fāyán
479,發展,fāzhǎn
480,罰款,fákuǎn
481,法律,fǎlǜ
482,法院,fǎyuàn
483,翻,fān
484,翻譯,fānyì
485,煩惱,fánnǎo
486,繁榮,fánróng
487,凡是,fánshì
488,反對,fǎnduì
489,反而,fǎn'ér
490,反覆,fǎnfù
491,反應,fǎnyìng
492,反映,fǎnyìng
493,反正,fǎnzhèng
494,飯館,fànguǎn
495,範圍,fànwéi
496,方,fāng
497,方案,fāng'àn
498,方便,fāngbiàn
499,方法,fāngfǎ
500,方面,fāngmiàn
501,方式,fāngshì
502,方向,fāngxiàng
503,妨礙,fáng'ài
504,房東,fángdōng
505,房間,fángjiān
506,彷彿,fǎngfú
507,訪問,fǎngwèn
508,放,fàng
509,放棄,fàngqì
510,放暑假,fàng shǔjià
511,放鬆,fàngsōng
512,放心,fàngxīn
513,非,fēi
514,非常,fēicháng
515,飛機,fēijī
516,肥皂,féizào
517,肺,fèi
518,廢話,fèihuà
519,費用,fèiyong
520,分,fēn
521,分別,fēnbié
522,分佈,fēnbù
523,分配,fēnpèi
524,分析,fēnxī
525,…分之…,fēnzhī
526,分鐘,fēnzhōng
527,紛紛,fēnfēn
528,份,fèn
529,奮鬥,fèndòu
530,憤怒,fènnù
531,豐富,fēngfù
532,風格,fēnggé
533,風景,fēngjǐng
534,風俗,fēngsú
535,風險,fēngxiǎn
536,瘋狂,fēngkuáng
537,諷刺,fěngcì
538,否定,fǒudìng
539,否認,fǒurèn
540,否則,fǒuzé
541,扶,fú
542,幅,fú
543,服從,fúcóng
544,服務員,fúwùyuán
545,服裝,fúzhuāng
546,符合,fúhé
547,輔導,fǔdǎo
548,富,fù
