n,character,pinyin
1,阿姨,āyí
2,啊,a
3,矮,ǎi
4,愛,ài
5,愛好,àihào
6,安靜,ānjìng
7,八,bā
8,把,bǎ
9,爸爸,bàba
10,吧,ba
11,白,bái
12,百,bǎi
13,班,bān
14,搬,bān
15,半,bàn
16,辦法,bànfǎ
17,辦公室,bàngōngshì
18,幫忙,bāngmáng
19,幫助,bāngzhù
20,包,bāo
21,飽,bǎo
22,報紙,bàozhǐ
23,杯子,bēizi
24,北方,běifāng
25,北京,Běijīng
26,被,bèi
27,本,běn
28,鼻子,bízi
29,比,bǐ
30,比較,bǐjiào
31,比賽,bǐsài
32,必須,bìxū
33,變化,biànhuà
34,表示,biǎoshì
35,表演,biǎoyǎn
36,別,bié
37,別人,biéren
38,賓館,bīnguǎn
39,冰箱,bīngxiāng
40,不客氣,bú kèqi
41,不,bù
42,才,cái
43,菜,cài
44,選單,càidān
45,參加,cānjiā
46,草,cǎo
47,層,céng
48,茶,chá
49,差,chà
50,長,cháng
51,唱歌,chànggē
52,超市,chāoshì
53,襯衫,chènshān
54,成績,chéngjì
55,城市,chéngshì
56,吃,chī
57,遲到,chídào
58,出,chū
59,出現,chūxiàn
60,計程車,chūzūchē
61,廚房,chúfáng
62,除了,chúle
63,穿,chuān
64,船,chuán
65,春,chūn
66,詞語,cíyǔ
67,次,cì
68,聰明,cōngming
69,從,cóng
70,錯,cuò
71,打電話,dǎ diànhuà
72,打籃球,dǎ lánqiú
73,打掃,dǎsǎo
74,打算,dǎsuàn
75,大,dà
76,大家,dàjiā
77,帶,dài
78,擔心,dānxīn
79,蛋糕,dàngāo
80,但是,dànshì
81,當然,dāngrán
82,到,dào
83,地,de
84,的,de
85,得,de
86,燈,dēng
87,等,děng
88,低,dī
89,弟弟,dìdi
90,地方,dìfang
91,地鐵,dìtiě
92,地圖,dìtú
93,第一,dì-yī
94,點,diǎn
95,電腦,diànnǎo
96,電視,diànshì
97,電梯,diàntī
98,電影,diànyǐng
99,電子郵件,diànzǐ yóujiàn
100,東,dōng
101,東西,dōngxi
102,冬,dōng
103,懂,dǒng
104,動物,dòngwù
105,都,dōu
106,讀,dú
107,短,duǎn
108,段,duàn
109,鍛鍊,duànliàn
110,對,duì
111,對不起,duìbuqǐ
112,多,duō
113,多麼,duōme
114,多少,duōshao
115,餓,è
116,而且,érqiě
117,兒子,érzi
118,耳朵,ěrduo
119,二,èr
120,發燒,fāshāo
121,發現,fāxiàn
122,飯館,fànguǎn
123,方便,fāngbiàn
124,房間,fángjiān
125,放,fàng
126,放心,fàngxīn
127,非常,fēicháng
128,飛機,fēijī
129,分,fēn
130,分鐘,fēnzhōng
131,服務員,fúwùyuán
132,附近,fùjìn
133,複習,fùxí
134,乾淨,gānjìng
135,敢,gǎn
136,感冒,gǎnmào
137,剛才,gāngcái
138,高,gāo
139,高興,gāoxìng
140,告訴,gàosu
141,哥哥,gēge
142,個,gè
143,給,gěi
144,跟,gēn
145,根據,gēnjù
146,更,gèng
147,公共汽車,gōnggòngqìchē
148,公斤,gōngjīn
149,公司,gōngsī
150,公園,gōngyuán
151,工作,gōngzuò
152,狗,gǒu
153,故事,gùshi
154,颳風,guā fēng
155,關,guān
156,關係,guānxì
157,關心,guānxīn
158,關於,guānyú
159,貴,guì
160,國家,guójiā
161,果汁,guǒzhī
162,過去,guòqù
163,過,guo
164,還,hái
165,還是,háishì
166,孩子,háizi
167,害怕,hàipà
168,漢語,Hànyǔ
169,好,hǎo
170,好吃,hǎochī
171,號,hào
172,喝,hē
173,和,hé
174,河,hé
175,黑,hēi
176,黑板,hēibǎn
177,很,hěn
178,紅,hóng
179,後面,hòumiàn
180,護照,hùzhào
181,花（動）,huā
182,花園,huāyuán
183,畫,huà
184,壞,huài
185,歡迎,huānyíng
186,還,huán
187,環境,huánjìng
188,換,huàn
189,黃,huáng
190,回,huí
191,回答,huídá
192,會,huì
193,會議,huìyì
194,火車站,huǒchēzhàn
195,或者,huòzhě
196,機場,jīchǎng
197,雞蛋,jīdàn
198,幾乎,jīhū
199,機會,jīhuì
200,極,jí
201,幾,jǐ
202,記得,jìde
203,季節,jìjié
204,家,jiā
205,檢查,jiǎnchá
206,簡單,jiǎndān
207,件,jiàn
208,健康,jiànkāng
209,見面,jiànmiàn
210,講,jiǎng
211,教,jiāo
212,角,jiǎo
213,腳,jiǎo
214,叫,jiào
215,教室,jiàoshì
216,接,jiē
217,街道,jiēdào
218,結婚,jiéhūn
219,結束,jiéshù
220,節目,jiémù
221,節日,jiérì
222,姐姐,jiějie
223,解決,jiějué
224,借,jiè
225,介紹,jièshào
226,今天,jīntiān
227,進,jìn
228,近,jìn
229,經常,jīngcháng
230,經過,jīngguò
231,經理,jīnglǐ
232,九,jiǔ
233,久,jiǔ
234,舊,jiù
235,就,jiù
236,舉行,jǔxíng
237,句子,jùzi
238,覺得,juéde
239,決定,juédìng
240,咖啡,kāfēi
241,開,kāi
242,開始,kāishǐ
243,看,kàn
244,看見,kànjiàn
245,考試,kǎoshì
246,渴,kě
247,可愛,kě'ài
248,可能,kěnéng
249,可以,kěyǐ
250,刻,kè
251,課,kè
252,客人,kèrén
253,空調,kōngtiáo
254,口,kǒu
255,哭,kū
256,褲子,kùzi
257,塊,kuài
258,快,kuài
259,快樂,kuàilè
260,筷子,kuàizi
261,來,lái
262,藍,lán
263,老,lǎo
264,老師,lǎoshī
265,了,le
266,累,lèi
267,冷,lěng
268,離,lí
269,離開,líkāi
270,裡,lǐ
271,禮物,lǐwù
272,歷史,lìshǐ
273,臉,liǎn
274,練習,liànxí
275,兩,liǎng
276,輛,liàng
277,瞭解,liǎojiě
278,鄰居,línjū
279,零,líng
280,六,liù
281,樓,lóu
282,路,lù
283,旅遊,lǚyóu
284,綠,lǜ
285,媽媽,māma
286,馬,mǎ
287,馬上,mǎshàng
288,嗎,ma
289,買,mǎi
290,賣,mài
291,滿意,mǎnyì
292,慢,màn
293,忙,máng
294,貓,māo
295,帽子,màozi
296,沒,méi
297,沒關係,méi guānxi
298,每,měi
299,妹妹,mèimei
300,門,mén
301,米,mǐ
302,米飯,mǐfàn
303,麵包,miànbāo
304,麵條,miàntiáo
305,明白,míngbai
306,明天,míngtiān
307,名字,míngzi
308,拿,ná
309,哪（哪兒）,nǎ (nǎr)
310,那（那兒）,nà (nàr)
311,奶奶,nǎinai
312,南,nán
313,男人,nánrén
314,難,nán
315,難過,nánguò
316,呢,ne
317,能,néng
318,你,nǐ
319,年,nián
320,年級,niánjí
321,年輕,niánqīng
322,鳥,niǎo
323,您,nín
324,牛奶,niúnǎi
325,努力,nǔlì
326,女兒,nǚ'ér
327,女人,nǚrén
328,爬山,páshān
329,盤子,pánzi
330,旁邊,pángbiān
331,胖,pàng
332,跑步,pǎobù
333,朋友,péngyou
334,啤酒,píjiǔ
335,便宜,piányi
336,票,piào
337,漂亮,piàoliang
338,蘋果,píngguǒ
339,葡萄,pútao
340,普通話,pǔtōnghuà
341,七,qī
342,妻子,qīzi
343,其實,qíshí
344,其他,qítā
345,騎,qí
346,奇怪,qíguài
347,起床,qǐchuáng
348,千,qiān
349,鉛筆,qiānbǐ
350,錢,qián
351,前面,qiánmiàn
352,清楚,qīngchu
353,晴,qíng
354,請,qǐng
355,秋,qiū
356,去,qù
357,去年,qùnián
358,裙子,qúnzi
359,然後,ránhòu
360,讓,ràng
361,熱,rè
362,熱情,rèqíng
363,人,rén
364,認識,rènshi
365,認為,rènwéi
366,認真,rènzhēn
367,日,rì
368,容易,róngyì
369,如果,rúguǒ
370,三,sān
371,傘,sǎn
372,商店,shāngdiàn
373,上,shàng
374,上班,shàngbān
375,上網,shàngwǎng
376,上午,shàngwǔ
377,少,shǎo
378,誰,shéi
379,身體,shēntǐ
380,什麼,shénme
381,生病,shēngbìng
382,生氣,shēngqì
383,生日,shēngrì
384,聲音,shēngyīn
385,十,shí
386,時候,shíhou
387,時間,shíjiān
388,使,shǐ
389,是,shì
390,世界,shìjiè
391,事情,shìqing
392,手錶,shǒubiǎo
393,手機,shǒujī
394,瘦,shòu
395,書,shū
396,舒服,shūfu
397,叔叔,shūshu
398,樹,shù
399,數學,shùxué
400,刷牙,shuā yá
401,雙,shuāng
402,水,shuǐ
403,水果,shuǐguǒ
404,水平,shuǐpíng
405,睡覺,shuìjiào
406,說話,shuōhuà
407,司機,sījī
408,四,sì
409,送,sòng
410,雖然,suīrán
411,歲,suì
412,所以,suǒyǐ
413,他,tā
414,她,tā
415,它,tā
416,太,tài
417,太陽,tàiyáng
418,糖,táng
419,特別,tèbié
420,疼,téng
421,踢足球,tī zúqiú
422,題,tí
423,提高,tígāo
424,體育,tǐyù
425,天氣,tiānqì
426,甜,tián
427,條,tiáo
428,跳舞,tiàowǔ
429,聽,tīng
430,同事,tóngshì
431,同學,tóngxué
432,同意,tóngyì
433,頭髮,tóufa
434,突然,tūrán
435,圖書館,túshūguǎn
436,腿,tuǐ
437,外,wài
438,完,wán
439,完成,wánchéng
440,玩,wán
441,碗,wǎn
442,晚上,wǎnshang
443,萬,wàn
444,忘記,wàngjì
445,喂,wèi
446,為,wèi
447,為了,wèile
448,為什麼,wèi shénme
449,位,wèi
450,文化,wénhuà
451,問,wèn
452,問題,wèntí
453,我,wǒ
454,我們,wǒmen
455,五,wǔ
456,西,xī
457,西瓜,xīguā
458,希望,xīwàng
459,習慣,xíguàn
460,洗,xǐ
461,洗手間,xǐshǒujiān
462,洗澡,xǐzǎo
463,喜歡,xǐhuan
464,下,xià
465,下午,xiàwǔ
466,下雨,xià yǔ
467,夏,xià
468,先,xiān
469,先生,xiānsheng
470,現在,xiànzài
471,香蕉,xiāngjiāo
472,相同,xiāngtóng
473,相信,xiāngxìn
474,想,xiǎng
475,向,xiàng
476,像,xiàng
477,小,xiǎo
478,小姐,xiǎojiě
479,小時,xiǎoshí
480,小心,xiǎoxīn
481,笑,xiào
482,校長,xiàozhǎng
483,些,xiē
484,鞋,xié
485,寫,xiě
486,謝謝,xièxie
487,新,xīn
488,新聞,xīnwén
489,新鮮,xīnxiān
490,信,xìn
491,星期,xīngqī
492,行李箱,xínglixiāng
493,姓,xìng
494,興趣,xìngqù
495,熊貓,xióngmāo
496,休息,xiūxi
497,需要,xūyào
498,選擇,xuǎnzé
499,學生,xuésheng
500,學習,xuéxí
501,學校,xuéxiào
502,雪,xuě
503,顏色,yánsè
504,眼鏡,yǎnjìng
505,眼睛,yǎnjing
506,羊肉,yángròu
507,要求,yāoqiú
508,藥,yào
509,要,yào
510,爺爺,yéye
511,也,yě
512,一,yī
513,衣服,yīfu
514,醫生,yīshēng
515,醫院,yīyuàn
516,一定,yídìng
517,一共,yígòng
518,一會兒,yíhuìr
519,一樣,yíyàng
520,以後,yǐhòu
521,以前,yǐqián
522,以為,yǐwéi
523,已經,yǐjīng
524,椅子,yǐzi
525,一般,yìbān
526,一邊,yìbiān
527,一起,yìqǐ
528,一直,yìzhí
529,意思,yìsi
530,陰,yīn
531,因為,yīnwèi
532,音樂,yīnyuè
533,銀行,yínháng
534,應該,yīnggāi
535,影響,yǐngxiǎng
536,用,yòng
537,遊戲,yóuxì
538,游泳,yóuyǒng
539,有,yǒu
540,有名,yǒumíng
541,又,yòu
542,右邊,yòubian
543,魚,yú
544,遇到,yùdào
545,元,yuán
546,遠,yuǎn
547,願意,yuànyì
548,月,yuè
549,月亮,yuèliang
550,越,yuè
551,雲,yún
552,運動,yùndòng
553,在,zài
554,再,zài
555,再見,zàijiàn
556,早上,zǎoshang
557,怎麼,zěnme
558,怎麼樣,zěnmeyàng
559,站,zhàn
560,張,zhāng
561,長,zhǎng
562,丈夫,zhàngfu
563,著急,zháojí
564,找,zhǎo
565,照顧,zhàogù
566,照片,zhàopiàn
567,照相機,zhàoxiàngjī
568,這（這兒）,zhè (zhèr)
569,著,zhe
570,真,zhēn
571,正在,zhèngzài
572,知道,zhīdào
573,只,zhǐ
574,中國,Zhōngguó
575,中間,zhōngjiān
576,中午,zhōngwǔ
577,終於,zhōngyú
578,種,zhǒng
579,重要,zhòngyào
580,週末,zhōumò
581,主要,zhǔyào
582,住,zhù
583,祝,zhù
