n,character,pinyin
143,哪（哪兒）,nǎ (nǎr)
144,那（那兒）,nà (nàr)
145,男人,nánrén
146,呢,ne
147,能,néng
148,你,nǐ
149,年,nián
150,您,nín
151,牛奶,niúnǎi
152,女兒,nǚ'ér
153,女人,nǚrén
154,旁邊,pángbiān
155,跑步,pǎobù
156,朋友,péngyou
157,便宜,piányi
158,票,piào
159,漂亮,piàoliang
160,蘋果,píngguǒ
161,七,qī
162,妻子,qīzi
163,起床,qǐchuáng
164,千,qiān
165,錢,qián
166,前面,qiánmiàn
167,晴,qíng
168,請,qǐng
169,去,qù
170,去年,qùnián
171,讓,ràng
172,熱,rè
173,人,rén
174,認識,rènshi
175,日,rì
176,三,sān
177,商店,shāngdiàn
178,上,shàng
179,上班,shàngbān
180,上午,shàngwǔ
181,少,shǎo
182,誰,shéi
183,身體,shēntǐ
184,什麼,shénme
185,生病,shēngbìng
186,生日,shēngrì
187,十,shí
188,時候,shíhou
189,時間,shíjiān
190,是,shì
191,事情,shìqing
192,手錶,shǒubiǎo
193,手機,shǒujī
194,書,shū
195,水,shuǐ
196,水果,shuǐguǒ
197,睡覺,shuìjiào
198,說話,shuōhuà
199,四,sì
200,送,sòng
201,歲,suì
202,所以,suǒyǐ
203,他,tā
204,她,tā
205,它,tā
206,太,tài
207,踢足球,tī zúqiú
208,題,tí
209,天氣,tiānqì
210,跳舞,tiàowǔ
211,聽,tīng
212,同學,tóngxué
213,外,wài
214,完,wán
215,玩,wán
216,晚上,wǎnshang
217,喂,wèi
218,為什麼,wèi shénme
219,問,wèn
220,問題,wèntí
221,我,wǒ
222,我們,wǒmen
223,五,wǔ
224,西瓜,xīguā
225,希望,xīwàng
226,洗,xǐ
227,喜歡,xǐhuan
228,下,xià
229,下午,xiàwǔ
230,下雨,xià yǔ
231,先生,xiānsheng
232,現在,xiànzài
233,想,xiǎng
234,向,xiàng
235,小,xiǎo
236,小姐,xiǎojiě
237,小時,xiǎoshí
238,笑,xiào
239,些,xiē
240,寫,xiě
241,謝謝,xièxie
242,新,xīn
243,星期,xīngqī
244,姓,xìng
245,休息,xiūxi
246,學生,xuésheng
247,學習,xuéxí
248,學校,xuéxiào
249,雪,xuě
250,顏色,yánsè
251,眼睛,yǎnjing
252,羊肉,yángròu
253,藥,yào
254,要,yào
255,也,yě
256,一,yī
257,衣服,yīfu
258,醫生,yīshēng
259,醫院,yīyuàn
260,已經,yǐjīng
261,椅子,yǐzi
262,一起,yìqǐ
263,意思,yìsi
264,陰,yīn
265,因為,yīnwèi
266,游泳,yóuyǒng
267,有,yǒu
268,右邊,yòubian
269,魚,yú
270,元,yuán
271,遠,yuǎn
272,月,yuè
273,運動,yùndòng
274,在,zài
275,再,zài
276,再見,zàijiàn
277,早上,zǎoshang
278,怎麼,zěnme
279,怎麼樣,zěnmeyàng
280,張,zhāng
281,丈夫,zhàngfu
282,找,zhǎo
283,這（這兒）,zhè (zhèr)
284,著,zhe
285,真,zhēn
286,正在,zhèngzài
287,知道,zhīdào
288,中國,Zhōngguó
289,中午,zhōngwǔ
290,住,zhù
291,準備,zhǔnbèi
292,桌子,zhuōzi
293,字,zì
294,腳踏車,zìxíngchē
295,走,zǒu
296,最,zuì
297,昨天,zuótiān
298,左邊,zuǒbian
299,坐,zuò
300,做,zuò
