n,character,pinyin
1,愛,ài
2,八,bā
3,爸爸,bàba
4,吧,ba
5,白,bái
6,百,bǎi
7,幫助,bāngzhù
8,報紙,bàozhǐ
9,杯子,bēizi
10,北京,Běijīng
11,本,běn
12,比,bǐ
13,別,bié
14,不客氣,bú kèqi
15,不,bù
16,菜,cài
17,茶,chá
18,長,cháng
19,唱歌,chànggē
20,吃,chī
21,出,chū
22,計程車,chūzūchē
23,穿,chuān
24,船,chuán
25,次,cì
26,從,cóng
27,錯,cuò
28,打電話,dǎ diànhuà
29,打籃球,dǎ lánqiú
30,大,dà
31,大家,dàjiā
32,但是,dànshì
33,到,dào
34,的,de
35,得,de
36,等,děng
37,弟弟,dìdi
38,第一,dì-yī
39,點,diǎn
40,電腦,diànnǎo
41,電視,diànshì
42,電影,diànyǐng
43,東西,dōngxi
44,懂,dǒng
45,都,dōu
46,讀,dú
47,對,duì
48,對不起,duìbuqǐ
49,多,duō
50,多少,duōshao
51,兒子,érzi
52,二,èr
53,飯館,fànguǎn
54,房間,fángjiān
55,非常,fēicháng
56,飛機,fēijī
57,分鐘,fēnzhōng
58,服務員,fúwùyuán
59,高,gāo
60,高興,gāoxìng
61,告訴,gàosu
62,哥哥,gēge
63,個,gè
64,給,gěi
65,公共汽車,gōnggòngqìchē
66,公斤,gōngjīn
67,公司,gōngsī
68,工作,gōngzuò
69,狗,gǒu
70,貴,guì
71,過,guo
72,還,hái
73,孩子,háizi
74,漢語,Hànyǔ
75,好,hǎo
76,好吃,hǎochī
77,號,hào
78,喝,hē
79,和,hé
80,黑,hēi
81,很,hěn
82,紅,hóng
83,後面,hòumiàn
84,歡迎,huānyíng
85,回,huí
86,回答,huídá
87,會,huì
88,火車站,huǒchēzhàn
89,機場,jīchǎng
90,雞蛋,jīdàn
91,幾,jǐ
92,家,jiā
93,件,jiàn
94,叫,jiào
95,教室,jiàoshì
96,姐姐,jiějie
97,介紹,jièshào
98,今天,jīntiān
99,進,jìn
100,近,jìn
101,九,jiǔ
102,就,jiù
103,覺得,juéde
104,咖啡,kāfēi
105,開,kāi
106,開始,kāishǐ
107,看,kàn
108,看見,kànjiàn
109,考試,kǎoshì
110,可能,kěnéng
111,可以,kěyǐ
112,課,kè
113,塊,kuài
114,快,kuài
115,快樂,kuàilè
116,來,lái
117,老師,lǎoshī
118,了,le
119,累,lèi
120,冷,lěng
121,離,lí
122,裡,lǐ
123,兩,liǎng
124,零,líng
125,六,liù
126,路,lù
127,旅遊,lǚyóu
128,媽媽,māma
129,嗎,ma
130,買,mǎi
131,賣,mài
132,慢,màn
133,忙,máng
134,貓,māo
135,沒,méi
136,沒關係,méi guānxi
137,每,měi
138,妹妹,mèimei
139,門,mén
140,米飯,mǐfàn
141,明天,míngtiān
142,名字,míngzi
