n,character,pinyin
1,阿姨,āyí
2,啊,a
3,唉,āi
4,哎喲,āiyō
5,挨,ái
6,癌症,áizhèng
7,矮,ǎi
8,愛,ài
9,愛不釋手,àibúshìshǒu
10,愛戴,àidài
11,愛好,àihào
12,愛護,àihù
13,愛情,àiqíng
14,愛惜,àixī
15,愛心,àixīn
16,曖昧,àimèi
17,安靜,ānjìng
18,安居樂業,ānjū-lèyè
19,安寧,ānníng
20,安排,ānpái
21,安全,ānquán
22,安慰,ānwèi
23,安詳,ānxiáng
24,安置,ānzhì
25,安裝,ānzhuāng
26,岸,àn
27,暗,àn
28,暗示,ànshì
29,案件,ànjiàn
30,案例,ànlì
31,按摩,ànmó
32,按時,ànshí
33,按照,ànzhào
34,昂貴,ángguì
35,凹凸,āotū
36,熬,áo
37,奧秘,àomì
38,八,bā
39,扒,bā
40,疤,bā
41,巴不得,bābude
42,巴結,bājie
43,拔苗助長,bámiáo-zhùzhǎng
44,把,bǎ
45,把關,bǎguān
46,把手,bǎshou
47,把握,bǎwò
48,把戲,bǎxì
49,爸爸,bàba
50,霸道,bàdào
51,罷工,bàgōng
52,吧,ba
53,掰,bāi
54,白,bái
55,百,bǎi
56,百分點,bǎifēndiǎn
57,擺,bǎi
58,擺脫,bǎituō
59,拜訪,bàifǎng
60,拜年,bàinián
61,拜託,bàituō
62,敗壞,bàihuài
63,搬,bān
64,班,bān
65,班主任,bānzhǔrèn
66,頒佈,bānbù
67,頒發,bānfā
68,斑紋,bānwén
69,版本,bǎnběn
70,半,bàn
71,半途而廢,bàntú'érfèi
72,辦法,bànfǎ
73,辦公室,bàngōngshì
74,辦理,bànlǐ
75,伴侶,bànlǚ
76,伴隨,bànsuí
77,扮演,bànyǎn
78,幫忙,bāngmáng
79,幫助,bāngzhù
80,綁架,bǎngjià
81,榜樣,bǎngyàng
82,磅,bàng
83,棒,bàng
84,傍晚,bàngwǎn
85,包,bāo
86,包庇,bāobì
87,包袱,bāofu
88,包裹,bāoguǒ
89,包含,bāohán
90,包括,bāokuò
91,包圍,bāowéi
92,包裝,bāozhuāng
93,包子,bāozi
94,薄,báo
95,飽,bǎo
96,飽和,bǎohé
97,飽經滄桑,bǎojīng-cāngsāng
98,寶貝,bǎobèi
99,寶貴,bǎoguì
100,保持,bǎochí
101,儲存,bǎocún
102,保管,bǎoguǎn
103,保護,bǎohù
104,保留,bǎoliú
105,保密,bǎomì
106,保姆,bǎomǔ
107,保守,bǎoshǒu
108,保衛,bǎowèi
109,保險,bǎoxiǎn
110,保養,bǎoyǎng
111,保障,bǎozhàng
112,保證,bǎozhèng
113,保重,bǎozhòng
114,抱,bào
115,抱負,bàofù
116,抱歉,bàoqiàn
117,抱怨,bàoyuàn
118,報仇,bàochóu
119,報酬,bàochou
120,報答,bàodá
121,報到,bàodào
122,報道,bàodào
123,報復,bàofù
124,報告,bàogào
125,報名,bàomíng
126,報社,bàoshè
127,報銷,bàoxiāo
128,報紙,bàozhǐ
129,爆發,bàofā
130,爆炸,bàozhà
131,曝光,bàoguāng
132,暴力,bàolì
133,暴露,bàolù
134,悲哀,bēi'āi
135,悲慘,bēicǎn
136,悲觀,bēiguān
137,卑鄙,bēibǐ
138,杯子,bēizi
139,北方,běifāng
140,北極,běijí
141,北京,Běijīng
142,倍,bèi
143,被,bèi
144,被動,bèidòng
145,被告,bèigào
146,被子,bèizi
147,背,bèi
148,背景,bèijǐng
149,背叛,bèipàn
150,背誦,bèisòng
151,備份,bèifèn
152,備忘錄,bèiwànglù
153,貝殼,bèiké
154,奔波,bēnbō
155,賓士,bēnchí
156,本,běn
157,本科,běnkē
158,本來,běnlái
159,本領,běnlǐng
160,本能,běnnéng
161,本錢,běnqián
162,本人,běnrén
163,本身,běnshēn
164,本事,běnshi
165,本著,běnzhe
166,本質,běnzhì
167,笨,bèn
168,笨拙,bènzhuō
169,崩潰,bēngkuì
170,甭,béng
171,蹦,bèng
172,迸發,bèngfā
173,逼迫,bīpò
174,鼻涕,bítì
175,鼻子,bízi
176,比,bǐ
177,比方,bǐfang
178,比較,bǐjiào
179,比例,bǐlì
180,比如,bǐrú
181,比賽,bǐsài
182,比喻,bǐyù
183,比重,bǐzhòng
184,彼此,bǐcǐ
185,筆記本,bǐjìběn
186,臂,bì
187,弊病,bìbìng
188,弊端,bìduān
189,必定,bìdìng
190,必然,bìrán
191,必須,bìxū
192,必需,bìxū
193,必要,bìyào
194,畢竟,bìjìng
195,畢業,bìyè
196,避免,bìmiǎn
197,閉塞,bìsè
198,碧玉,bìyù
199,鞭策,biāncè
200,鞭炮,biānpào
201,編輯,biānjí
202,編織,biānzhī
203,邊疆,biānjiāng
204,邊界,biānjiè
205,邊境,biānjìng
206,邊緣,biānyuán
207,扁,biǎn
208,貶低,biǎndī
209,貶義,biǎnyì
210,遍,biàn
211,遍佈,biànbù
212,便,biàn
213,便利,biànlì
214,便條,biàntiáo
215,便於,biànyú
216,變故,biàngù
217,變化,biànhuà
218,變遷,biànqiān
219,變質,biànzhì
220,辯護,biànhù
221,辯解,biànjiě
222,辯論,biànlùn
223,辯證,biànzhèng
224,辨認,biànrèn
225,辮子,biànzi
226,標本,biāoběn
227,標點,biāodiǎn
228,標記,biāojì
229,標題,biāotí
230,標誌,biāozhì
231,標準,biāozhǔn
232,飆升,biāoshēng
233,表達,biǎodá
234,表格,biǎogé
235,表決,biǎojué
236,表面,biǎomiàn
237,表明,biǎomíng
238,表情,biǎoqíng
239,表示,biǎoshì
240,表態,biǎotài
241,表現,biǎoxiàn
242,表演,biǎoyǎn
243,表揚,biǎoyáng
244,表彰,biǎozhāng
245,憋,biē
246,別,bié
247,別人,biéren
248,別墅,biéshù
249,別緻,biézhì
250,彆扭,bièniu
251,賓館,bīnguǎn
252,瀕臨,bīnlín
253,冰雹,bīngbáo
254,冰箱,bīngxiāng
255,丙,bǐng
256,餅乾,bǐnggān
257,並存,bìngcún
258,並非,bìngfēi
259,並列,bìngliè
260,並且,bìngqiě
261,病毒,bìngdú
262,撥打,bōdǎ
263,播放,bōfàng
264,播種,bōzhòng
265,波浪,bōlàng
266,波濤洶湧,bōtāo-xiōngyǒng
267,玻璃,bōli
268,剝削,bōxuē
269,博大精深,bódà-jīngshēn
270,博覽會,bólǎnhuì
271,博士,bóshì
272,博物館,bówùguǎn
273,搏鬥,bódòu
274,伯母,bómǔ
275,薄弱,bóruò
276,脖子,bózi
277,不必,búbì
278,不但,búdàn
279,不斷,búduàn
280,不顧,búgù
281,不過,búguò
282,不見得,bú jiàndé
283,不客氣,bú kèqi
284,不愧,búkuì
285,不料,búliào
286,不耐煩,bú nàifán
287,不像話,bú xiànghuà
288,不屑一顧,búxiè-yígù
289,不要緊,bú yàojǐn
290,補償,bǔcháng
291,補充,bǔchōng
292,補救,bǔjiù
293,補貼,bǔtiē
294,哺乳,bǔrǔ
295,捕捉,bǔzhuō
296,不,bù
297,不安,bù'ān
298,不得不,bùdébù
299,不得了,bù déliǎo
300,不得已,bùdéyǐ
301,不妨,bùfáng
302,不敢當,bùgǎndāng
303,不管,bùguǎn
304,不好意思,bù hǎoyìsi
305,不禁,bùjīn
306,不僅,bùjǐn
307,不堪,bùkān
308,不可思議,bùkě-sīyì
309,不免,bùmiǎn
310,不然,bùrán
311,不如,bùrú
312,不時,bùshí
313,不惜,bùxī
314,不相上下,bùxiāng-shàngxià
315,不言而喻,bùyán'éryù
316,不由得,bùyóude
317,不擇手段,bùzé-shǒuduàn
318,不止,bùzhǐ
319,不足,bùzú
320,布,bù
321,佈告,bùgào
322,佈局,bùjú
323,佈置,bùzhì
324,步伐,bùfá
325,步驟,bùzhòu
326,部分,bùfen
327,部門,bùmén
328,部署,bùshǔ
329,部位,bùwèi
330,擦,cā
331,猜,cāi
332,才,cái
333,才幹,cáigàn
334,財產,cáichǎn
335,財富,cáifù
336,財務,cáiwù
337,財政,cáizhèng
338,裁縫,cáifeng
339,裁判,cáipàn
340,裁員,cáiyuán
341,材料,cáiliào
342,踩,cǎi
343,採訪,cǎifǎng
344,採購,cǎigòu
345,採集,cǎijí
346,採納,cǎinà
347,採取,cǎiqǔ
348,彩虹,cǎihóng
349,彩票,cǎipiào
350,菜,cài
351,選單,càidān
352,參觀,cānguān
353,參加,cānjiā
354,參考,cānkǎo
355,參謀,cānmóu
356,參與,cānyù
357,參照,cānzhào
358,餐廳,cāntīng
359,殘疾,cánjí
360,殘酷,cánkù
361,殘留,cánliú
362,殘忍,cánrěn
363,慚愧,cánkuì
364,燦爛,cànlàn
365,艙,cāng
366,蒼白,cāngbái
367,倉促,cāngcù
368,倉庫,cāngkù
369,操場,cāochǎng
370,操勞,cāoláo
371,操練,cāoliàn
372,操心,cāoxīn
373,操縱,cāozòng
374,操作,cāozuò
375,嘈雜,cáozá
376,草,cǎo
377,草案,cǎo'àn
378,草率,cǎoshuài
379,冊,cè
380,策劃,cèhuà
381,策略,cèlüè
382,測量,cèliáng
383,測驗,cèyàn
384,側面,cèmiàn
385,廁所,cèsuǒ
386,層,céng
387,層出不窮,céngchū-bùqióng
388,層次,céngcì
389,曾經,céngjīng
390,插,chā
391,差別,chābié
392,差距,chājù
393,叉子,chāzi
394,茶,chá
395,查獲,cháhuò
396,岔,chà
397,差,chà
398,差不多,chàbuduō
399,剎那,chànà
400,詫異,chàyì
401,拆,chāi
402,柴油,cháiyóu
403,攙,chān
404,饞,chán
405,纏繞,chánrào
406,產品,chǎnpǐn
407,產生,chǎnshēng
408,產業,chǎnyè
409,闡述,chǎnshù
410,顫抖,chàndǒu
411,猖狂,chāngkuáng
412,昌盛,chāngshèng
413,長,cháng
414,長城,Chángchéng
415,長江,Cháng Jiāng
416,長途,chángtú
417,嘗,cháng
418,嘗試,chángshì
419,償還,chánghuán
420,常年,chángnián
421,常識,chángshí
422,常務,chángwù
423,場,chǎng
424,場合,chǎnghé
425,場面,chǎngmiàn
426,場所,chǎngsuǒ
427,敞開,chǎngkāi
428,倡導,chàngdǎo
429,倡議,chàngyì
430,唱歌,chànggē
431,暢通,chàngtōng
432,暢銷,chàngxiāo
433,抄,chāo
434,超過,chāoguò
435,超級,chāojí
436,超市,chāoshì
437,超越,chāoyuè
438,鈔票,chāopiào
439,朝,cháo
440,朝代,cháodài
441,潮流,cháoliú
442,潮溼,cháoshī
443,嘲笑,cháoxiào
444,炒,chǎo
445,吵,chǎo
446,吵架,chǎojià
447,車庫,chēkù
448,車廂,chēxiāng
449,徹底,chèdǐ
450,撤退,chètuì
451,撤銷,chèxiāo
452,沉澱,chéndiàn
453,沉悶,chénmèn
454,沉默,chénmò
455,沉思,chénsī
456,沉重,chénzhòng
457,沉著,chénzhuó
458,陳舊,chénjiù
459,陳列,chénliè
460,陳述,chénshù
461,趁,chèn
462,襯衫,chènshān
463,稱心如意,chènxīn-rúyì
464,稱,chēng
465,稱號,chēnghào
466,稱呼,chēnghu
467,稱讚,chēngzàn
468,盛,chéng
469,橙,chéng
470,乘,chéng
471,乘務員,chéngwùyuán
472,乘坐,chéngzuò
473,承辦,chéngbàn
474,承包,chéngbāo
475,承擔,chéngdān
476,承諾,chéngnuò
477,承認,chéngrèn
478,承受,chéngshòu
479,城堡,chéngbǎo
480,成本,chéngběn
481,成分,chéngfèn
482,成功,chénggōng
483,成果,chéngguǒ
484,成績,chéngjì
485,成交,chéngjiāo
486,成就,chéngjiù
487,成立,chénglì
488,成熟,chéngshú
489,成天,chéngtiān
490,成為,chéngwéi
491,成效,chéngxiào
492,成心,chéngxīn
493,成語,chéngyǔ
494,成員,chéngyuán
495,成長,chéngzhǎng
496,程度,chéngdù
497,程式,chéngxù
498,懲罰,chéngfá
499,誠懇,chéngkěn
500,誠實,chéngshí
501,誠摯,chéngzhì
502,澄清,chéngqīng
503,城市,chéngshì
504,呈現,chéngxiàn
505,秤,chèng
506,吃,chī
507,吃驚,chījīng
508,吃苦,chīkǔ
509,吃虧,chīkuī
510,吃力,chīlì
511,遲到,chídào
512,遲緩,chíhuǎn
513,遲疑,chíyí
514,持久,chíjiǔ
515,持續,chíxù
516,池塘,chítáng
517,池子,chízi
518,尺子,chǐzi
